,age,Medu,Fedu,guardian,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,school_,sex_,address_,famsize_,Pstatus_,Mjob_,Fjob_,reason_,schoolsup_,famsup_,paid_,activities_,nursery_,higher_,internet_,romantic_
0,18,4,4,mother,2,2,0,4,3,4,1,1,3,6,5,6,6,0,0,1,0,0,0,4,0,1,0,0,0,1,1,0,0
1,17,1,1,father,1,2,0,5,3,3,1,1,3,4,5,5,6,0,0,1,0,1,0,2,0,0,1,0,0,0,1,1,0
2,15,1,1,mother,1,2,3,4,3,2,2,3,3,10,7,8,10,0,0,1,1,1,0,2,2,1,0,1,0,1,1,1,0
3,15,4,2,mother,1,3,0,3,2,2,1,1,5,2,15,14,15,0,0,1,0,1,1,3,1,0,1,1,1,1,1,1,1
4,16,3,3,father,1,2,0,4,3,2,1,2,5,4,6,10,10,0,0,1,0,1,2,2,1,0,1,1,0,1,1,0,0
5,16,4,3,mother,1,2,0,5,4,2,1,2,5,10,15,15,15,0,1,1,1,1,3,2,3,0,1,1,1,1,1,1,0
6,16,2,2,mother,1,2,0,4,4,4,1,1,3,0,12,12,11,0,1,1,1,1,2,2,1,0,0,0,0,1,1,1,0
7,17,4,4,mother,2,2,0,4,1,4,1,1,1,6,6,5,6,0,0,1,0,0,2,4,1,1,1,0,0,1,1,0,0
8,15,3,2,mother,1,2,0,4,2,2,1,1,1,0,16,18,19,0,1,1,1,0,3,2,1,0,1,1,0,1,1,1,0
9,15,3,4,mother,1,2,0,5,5,1,1,1,5,0,14,15,15,0,1,1,0,1,2,2,1,0,1,1,1,1,1,1,0
10,15,4,4,mother,1,2,0,3,3,3,1,2,2,0,10,8,9,0,0,1,0,1,4,1,3,0,1,1,0,1,1,1,0
11,15,2,1,father,3,3,0,5,2,2,1,1,4,4,10,12,12,0,0,1,0,1,3,2,3,0,1,0,1,1,1,1,0
12,15,4,4,father,1,1,0,4,3,3,1,3,5,2,14,14,14,0,1,1,1,1,1,3,0,0,1,1,1,1,1,1,0
13,15,4,3,mother,2,2,0,5,4,3,1,2,3,2,10,10,11,0,1,1,0,1,4,2,0,0,1,1,0,1,1,1,0
14,15,2,2,other,1,3,0,4,5,2,1,1,3,0,14,16,16,0,1,1,0,0,2,2,1,0,1,0,0,1,1,1,1
15,16,4,4,mother,1,1,0,4,4,4,1,2,2,4,14,14,14,0,0,1,0,1,1,2,1,0,1,0,0,1,1,1,0
16,16,4,4,mother,1,3,0,3,2,3,1,2,2,6,13,14,14,0,0,1,0,1,3,3,3,0,1,1,1,1,1,1,0
